absolute_path,svs_filename,binary_label,label,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,drug_name,DOSE_LEVEL,DOSE,DOSE_UNIT,SACRIFICE_PERIOD,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,SPECIES,ANIMAL_AGE(week),ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/colchicine/Liver/41475.svs,41475.svs,1,abnormal,501,13,1,colchicine,colchicine,High,15,mg/kg,3 hr,Single,Gavage,Rat,6,Liver,Increased mitosis | Single cell necrosis,Midlobular,slight
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/bromoethylamine/Liver/52783.svs,52783.svs,1,abnormal,578,14,2,bromoethylamine,bromoethylamine,High,60,mg/kg,6 hr,Single,intravenous injection,Rat,6,Liver,"Deposit, glycogen",Hepatocyte,slight
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/ethinylestradiol/Liver/13638.svs,13638.svs,1,abnormal,304,6,1,ethinylestradiol,ethinylestradiol,Low,1,mg/kg,6 hr,Single,Gavage,Rat,6,Liver,Necrosis,Hepatocyte,minimal
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/amitriptyline/Liver/34280.svs,34280.svs,1,abnormal,368,15,3,amitriptyline,amitriptyline,High,150,mg/kg,15 day,Repeat,Gavage,Rat,6,Liver,"Hypertrophy | Vacuolization, cytoplasmic",Hepatocyte,moderate | slight
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/hexachlorobenzene/Liver/6287.svs,6287.svs,1,abnormal,157,7,3,hexachlorobenzene,hexachlorobenzene,Low,30,mg/kg,15 day,Repeat,Gavage,Rat,6,Liver,"Ground glass appearance | Hypertrophy | Vacuolization, cytoplasmic",Centrilobular | Periportal,slight | minimal
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/WY-14643/Liver/29639.svs,29639.svs,1,abnormal,182,14,1,WY-14643,WY-14643,High,100,mg/kg,8 day,Repeat,Gavage,Rat,6,Liver,"Degeneration, granular, eosinophilic | Granuloma | Hypertrophy | Increased mitosis","Hepatocyte | Bile duct, interlobular",severe | minimal
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/methylene_dianiline/Liver/63481.svs,63481.svs,1,abnormal,685,9,4,methylene dianiline,methylene_dianiline,Middle,100,mg/kg,3 hr,Single,Gavage,Rat,6,Liver,Cellular infiltration | Dilatation | Edema | Hemorrhage | Necrosis,Glisson's sheath | Lymphatic | Bile duct cell,minimal | slight | moderate
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/acetamidofluorene/Liver/51853.svs,51853.svs,1,abnormal,569,10,4,acetamidofluorene,acetamidofluorene,Middle,100,mg/kg,8 day,Repeat,Gavage,Rat,6,Liver,"Cellular infiltration | Proliferation, bile duct | Proliferation, oval cell | Swelling",Periportal | Centrilobular,minimal | slight
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/dantrolene/Liver/43769.svs,43769.svs,1,abnormal,520,3,2,dantrolene,dantrolene,Control,0,mg/kg,15 day,Repeat,Gavage,Rat,6,Liver,Microgranuloma,,minimal
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/acetamide/Liver/65654.svs,65654.svs,1,abnormal,713,11,3,acetamide,acetamide,Middle,1000,mg/kg,15 day,Repeat,Gavage,Rat,6,Liver,"Change, acidophilic | Pyknosis",Hepatocyte,slight
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/WY-14643/Liver/8344.svs,8344.svs,1,abnormal,181,9,3,WY-14643,WY-14643,Middle,30,mg/kg,3 hr,Single,Gavage,Rat,6,Liver,Single cell necrosis,Hepatocyte,minimal
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/WY-14643/Liver/8325.svs,8325.svs,1,abnormal,181,8,1,WY-14643,WY-14643,Low,10,mg/kg,24 hr,Single,Gavage,Rat,6,Liver,"Degeneration, granular, eosinophilic | Increased mitosis",Hepatocyte,slight | minimal
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/promethazine/Liver/70688.svs,70688.svs,1,abnormal,494,16,3,promethazine,promethazine,High,200,mg/kg,29 day,Repeat,Gavage,Rat,6,Liver,Ground glass appearance | Hypertrophy,Centrilobular,severe
/mnt/e/spass/open-tggates-pathological-images/LATEST/images/enalapril/Liver/35527.svs,35527.svs,1,abnormal,423,4,4,enalapril,enalapril,Control,0,mg/kg,29 day,Repeat,Gavage,Rat,6,Liver,Microgranuloma,,minimal
